Order ID,Order Date,Category,Sub-Category,Region,Ship Mode,Sales
76,2022-01-23,Technology,Phones,East,Standard Class,64.94
77,2023-11-23,Technology,Accessories,Central,Same Day,103.06
78,2021-05-13,Office Supplies,Paper,East,Second Class,155.59
79,2023-07-10,Office Supplies,Storage,Central,First Class,53.9
80,2023-01-12,Technology,Phones,South,First Class,263.51
81,2023-01-11,Furniture,Tables,South,Standard Class,110.88
82,2023-09-24,Furniture,Tables,Central,Second Class,686.28
83,2021-02-15,Furniture,Chairs,West,First Class,126.93
84,2022-10-15,Technology,Copiers,West,Standard Class,192.68
85,2021-08-06,Office Supplies,Binders,Central,First Class,442.94
86,2023-06-05,Furniture,Chairs,West,Same Day,79.37
87,2021-07-01,Furniture,Tables,South,First Class,50.04
88,2023-02-13,Technology,Phones,South,Standard Class,287.49
89,2021-04-16,Furniture,Chairs,Central,First Class,303.78
90,2022-05-06,Technology,Copiers,South,First Class,434.02
91,2023-08-14,Furniture,Chairs,East,Same Day,365.31
92,2022-08-30,Office Supplies,Paper,Central,First Class,312.03
93,2022-08-22,Technology,Copiers,Central,Second Class,140.08
94,2023-06-19,Office Supplies,Binders,South,First Class,297.73
95,2023-01-16,Office Supplies,Paper,West,First Class,311.16
96,2021-01-11,Office Supplies,Binders,South,First Class,135.61
97,2021-09-16,Office Supplies,Binders,South,Standard Class,813.31
98,2023-02-24,Office Supplies,Paper,South,Second Class,353.44
99,2021-01-26,Office Supplies,Binders,West,Same Day,104.77
100,2021-10-16,Furniture,Chairs,East,Same Day,435.49
101,2022-05-10,Furniture,Bookcases,South,Same Day,486.81
102,2023-06-01,Technology,Accessories,East,Second Class,338.76
103,2021-07-04,Office Supplies,Binders,Central,First Class,205.43
104,2021-01-22,Technology,Accessories,East,Same Day,130.6
105,2021-09-02,Office Supplies,Binders,West,First Class,235.36
106,2021-10-15,Furniture,Bookcases,East,Standard Class,322.05
107,2021-12-11,Office Supplies,Storage,South,Standard Class,252.53
108,2022-10-14,Furniture,Chairs,West,Same Day,650.33
109,2021-07-01,Furniture,Chairs,West,First Class,391.79
110,2023-07-10,Furniture,Chairs,East,Second Class,118.04
111,2022-04-30,Office Supplies,Binders,East,Standard Class,94.68
112,2023-03-06,Furniture,Bookcases,Central,Standard Class,355.55
113,2023-04-30,Furniture,Tables,South,First Class,209.18
114,2023-11-01,Technology,Copiers,Central,Standard Class,415.32
115,2021-05-18,Furniture,Tables,Central,Same Day,353.3
116,2021-11-17,Technology,Accessories,West,Second Class,236.16
117,2021-12-20,Furniture,Bookcases,South,First Class,119.26
118,2021-06-13,Furniture,Chairs,East,Same Day,56.43
119,2023-12-27,Technology,Copiers,West,Standard Class,293.79
120,2021-09-12,Office Supplies,Binders,South,First Class,78.04
121,2023-11-11,Technology,Phones,East,First Class,114.93
122,2023-06-29,Technology,Copiers,East,Second Class,280.97
123,2023-09-21,Technology,Phones,Central,Standard Class,261.44
124,2022-02-08,Furniture,Tables,Central,Second Class,87.56
125,2023-02-03,Technology,Phones,West,Same Day,523.85
126,2022-03-13,Technology,Accessories,South,Standard Class,514.63
127,2021-12-26,Furniture,Chairs,South,Second Class,363.59
128,2022-08-08,Furniture,Tables,West,Same Day,363.28
129,2021-01-11,Technology,Phones,South,First Class,363.59
130,2023-03-12,Furniture,Chairs,West,Same Day,483.98
131,2021-01-22,Furniture,Bookcases,East,First Class,398.55
132,2022-05-21,Technology,Accessories,East,Same Day,128.22
133,2023-12-19,Furniture,Bookcases,East,First Class,206.89
134,2021-11-16,Furniture,Tables,East,Second Class,1019.48
135,2021-09-11,Office Supplies,Paper,East,Standard Class,34.72
136,2022-01-08,Technology,Phones,South,Same Day,169.29
137,2022-02-21,Furniture,Tables,East,Same Day,525.72
138,2022-03-07,Furniture,Tables,East,Same Day,135.49
139,2023-02-14,Office Supplies,Paper,West,First Class,406.05
140,2023-08-15,Furniture,Chairs,West,Same Day,258.93
141,2022-09-06,Technology,Accessories,West,Second Class,143.86
142,2022-05-16,Office Supplies,Binders,East,Standard Class,27.15
143,2023-04-12,Technology,Copiers,South,First Class,287.87
144,2023-08-09,Office Supplies,Storage,South,Standard Class,125.79
145,2023-01-23,Technology,Phones,East,Second Class,228.43
146,2023-05-18,Office Supplies,Storage,East,First Class,361.1
147,2021-05-21,Furniture,Chairs,East,First Class,457.92
148,2021-04-05,Office Supplies,Storage,South,Second Class,168.84
149,2023-05-05,Office Supplies,Binders,East,First Class,143.63
150,2022-12-11,Furniture,Tables,East,First Class,76.7
151,2023-06-17,Office Supplies,Binders,East,Second Class,473.19
152,2023-10-06,Technology,Phones,Central,Standard Class,927.26
153,2023-12-03,Office Supplies,Storage,Central,Second Class,507.97
154,2022-09-11,Furniture,Bookcases,South,First Class,584.34
155,2023-07-20,Technology,Accessories,Central,Standard Class,136.48
156,2023-12-28,Technology,Accessories,West,Same Day,346.17
157,2023-09-10,Technology,Accessories,West,First Class,432.01
158,2023-09-02,Furniture,Chairs,South,Same Day,99.47
159,2021-12-17,Furniture,Bookcases,South,Same Day,718.07
160,2023-01-05,Furniture,Bookcases,Central,Same Day,62.73
161,2023-10-15,Furniture,Bookcases,East,Second Class,645.85
162,2022-08-07,Office Supplies,Binders,South,First Class,62.29
163,2021-01-28,Technology,Accessories,Central,Second Class,104.03
164,2023-04-13,Office Supplies,Paper,West,First Class,350.59
165,2022-11-10,Technology,Copiers,West,First Class,263.76
166,2021-04-13,Furniture,Tables,West,First Class,182.56
167,2022-04-13,Office Supplies,Binders,West,Standard Class,700.07
168,2023-10-13,Furniture,Tables,West,First Class,78.75
169,2023-05-13,Furniture,Tables,East,Same Day,221.74
170,2022-11-30,Technology,Accessories,South,Standard Class,382.11
171,2022-04-24,Furniture,Tables,Central,First Class,308.46
172,2022-11-24,Office Supplies,Binders,South,Same Day,147.76
173,2021-06-14,Furniture,Chairs,West,Standard Class,152.36
174,2021-08-18,Technology,Accessories,West,First Class,453.25
175,2021-05-05,Technology,Copiers,South,Standard Class,467.8
176,2021-06-29,Office Supplies,Storage,East,First Class,314.35
177,2022-11-11,Furniture,Bookcases,South,Second Class,121.38
178,2023-10-06,Furniture,Bookcases,South,Standard Class,156.46
179,2022-12-18,Technology,Copiers,Central,Second Class,245.97
180,2021-07-16,Technology,Phones,Central,Standard Class,273.42
181,2023-06-09,Furniture,Bookcases,South,Standard Class,371.62
182,2022-05-14,Technology,Phones,East,Same Day,212.85
183,2023-07-13,Office Supplies,Paper,West,First Class,446.33
184,2022-02-19,Office Supplies,Paper,West,Standard Class,442.94
185,2022-04-19,Furniture,Tables,Central,Second Class,597.59
186,2023-09-16,Technology,Phones,East,Same Day,254.09
187,2023-07-19,Furniture,Tables,West,Standard Class,318.18
188,2021-05-14,Technology,Copiers,South,Standard Class,225.64
189,2023-01-10,Office Supplies,Binders,South,Same Day,122.67
190,2022-09-05,Furniture,Bookcases,South,First Class,913.51
191,2023-08-18,Furniture,Bookcases,Central,Same Day,548.01
192,2021-01-06,Office Supplies,Storage,Central,Same Day,436.78
193,2022-11-27,Furniture,Bookcases,West,First Class,247.64
194,2022-07-21,Furniture,Tables,East,Second Class,113.39
195,2021-12-18,Office Supplies,Storage,East,Second Class,490.36
196,2021-11-17,Furniture,Tables,Central,Standard Class,222.59
197,2021-02-11,Furniture,Bookcases,West,First Class,338.79
198,2022-12-02,Technology,Copiers,East,First Class,155.95
199,2021-02-20,Technology,Copiers,West,First Class,300.5
200,2022-11-09,Furniture,Bookcases,Central,Standard Class,164.12
201,2023-12-10,Furniture,Bookcases,West,Same Day,169.43
202,2023-06-03,Furniture,Chairs,South,Same Day,297.68
203,2023-12-25,Furniture,Tables,East,First Class,61.36
204,2021-02-28,Furniture,Tables,Central,Second Class,64.5
205,2022-12-19,Office Supplies,Storage,South,Standard Class,135.09
206,2023-08-16,Technology,Phones,East,First Class,210.9
207,2022-09-29,Technology,Phones,Central,Standard Class,455.58
208,2023-10-29,Office Supplies,Storage,West,First Class,220.29
209,2022-06-18,Furniture,Bookcases,Central,First Class,246.43
210,2022-03-25,Furniture,Chairs,West,Standard Class,198.16
211,2022-09-11,Office Supplies,Paper,Central,First Class,317.85
212,2022-07-06,Furniture,Bookcases,South,First Class,121.59
213,2022-07-14,Office Supplies,Storage,South,Standard Class,229.52
214,2022-08-17,Office Supplies,Binders,West,First Class,336.14
215,2022-08-18,Technology,Accessories,South,First Class,295.95
216,2022-04-02,Furniture,Tables,East,Second Class,252.45
217,2022-09-17,Furniture,Tables,West,First Class,254.78
218,2021-12-25,Office Supplies,Binders,Central,Same Day,359.37
219,2022-06-14,Furniture,Tables,East,Same Day,941.73
220,2021-03-03,Technology,Copiers,West,Second Class,128.9
221,2022-02-07,Furniture,Bookcases,East,Standard Class,959.0
222,2022-04-12,Office Supplies,Paper,Central,Same Day,123.87
223,2021-04-05,Technology,Accessories,West,Second Class,23.03
224,2023-09-24,Furniture,Tables,South,First Class,161.38
225,2023-03-05,Office Supplies,Paper,Central,First Class,322.19
226,2023-03-06,Technology,Copiers,East,Same Day,817.74
227,2023-11-04,Office Supplies,Storage,South,Standard Class,113.26
228,2022-04-28,Office Supplies,Storage,Central,First Class,357.87
229,2022-02-01,Technology,Copiers,East,Second Class,71.59
230,2023-04-07,Technology,Phones,South,Standard Class,798.81
231,2023-03-05,Technology,Copiers,West,Same Day,555.01
232,2023-12-23,Office Supplies,Storage,Central,Same Day,169.71
233,2022-08-09,Technology,Accessories,East,Standard Class,614.5
234,2021-12-04,Office Supplies,Paper,Central,Standard Class,228.47
235,2023-12-12,Furniture,Tables,West,First Class,574.47
236,2021-10-02,Technology,Accessories,East,Second Class,251.02
237,2022-09-10,Furniture,Chairs,West,First Class,259.21
238,2022-12-18,Office Supplies,Storage,Central,Second Class,172.58
239,2022-01-31,Technology,Phones,East,Standard Class,391.05
240,2022-03-20,Furniture,Chairs,West,First Class,274.03
241,2023-11-20,Furniture,Bookcases,West,Second Class,363.44
242,2023-06-06,Furniture,Chairs,East,First Class,55.06
243,2022-01-26,Technology,Copiers,South,Same Day,588.02
244,2021-03-18,Technology,Phones,Central,Standard Class,686.74
245,2021-02-24,Furniture,Tables,West,Same Day,273.08
246,2021-03-28,Furniture,Chairs,Central,Same Day,899.06
247,2021-06-23,Office Supplies,Paper,South,Standard Class,767.26
248,2023-12-28,Furniture,Chairs,West,First Class,396.96
249,2022-05-23,Technology,Phones,South,Standard Class,619.72
250,2023-08-13,Furniture,Bookcases,West,Same Day,516.08
251,2021-10-18,Office Supplies,Binders,South,First Class,40.67
252,2023-06-09,Furniture,Tables,West,Same Day,201.37
253,2023-08-08,Technology,Copiers,South,Same Day,416.28
254,2021-09-28,Office Supplies,Binders,East,Second Class,716.59
255,2023-06-13,Office Supplies,Paper,Central,First Class,66.67
256,2022-04-15,Office Supplies,Storage,West,Standard Class,43.95
257,2022-09-24,Furniture,Tables,South,First Class,239.4
258,2022-08-21,Furniture,Tables,Central,Standard Class,25.33
259,2023-06-02,Furniture,Chairs,South,Same Day,233.14
260,2022-04-18,Technology,Phones,West,Second Class,327.92
261,2023-05-02,Furniture,Chairs,West,Same Day,108.59
262,2021-02-16,Technology,Copiers,South,Same Day,238.06
263,2021-12-09,Furniture,Tables,East,Second Class,484.33
264,2023-02-26,Office Supplies,Paper,East,Standard Class,160.73
265,2022-06-21,Technology,Copiers,Central,Standard Class,125.75
266,2023-01-29,Technology,Phones,West,Second Class,229.84
267,2021-07-04,Furniture,Chairs,Central,Standard Class,98.34
268,2022-01-26,Technology,Accessories,East,Second Class,856.11
269,2022-07-05,Technology,Phones,West,First Class,256.89
270,2022-05-06,Office Supplies,Storage,South,First Class,137.51
271,2021-04-14,Technology,Copiers,Central,First Class,293.77
272,2023-06-25,Technology,Phones,East,Same Day,228.87
273,2022-07-20,Technology,Phones,South,Same Day,209.6
274,2023-09-27,Technology,Accessories,South,First Class,160.7
275,2021-10-09,Office Supplies,Paper,West,Same Day,154.25
276,2022-05-15,Office Supplies,Binders,West,Second Class,56.41
277,2023-07-21,Furniture,Bookcases,Central,Second Class,619.1
278,2022-05-30,Furniture,Bookcases,Central,First Class,379.1
279,2021-12-27,Furniture,Chairs,South,Second Class,315.25
280,2022-12-11,Technology,Phones,South,Same Day,226.04
281,2021-01-18,Furniture,Chairs,South,First Class,106.86
282,2021-09-22,Office Supplies,Storage,South,Second Class,130.27
283,2022-07-11,Technology,Copiers,South,First Class,63.34
284,2023-09-15,Office Supplies,Storage,Central,Same Day,144.53
285,2023-05-09,Technology,Copiers,East,First Class,93.6
286,2023-06-12,Technology,Accessories,East,Standard Class,739.7
287,2023-09-15,Furniture,Tables,East,Second Class,462.54
288,2022-05-08,Furniture,Tables,Central,Standard Class,265.28
289,2021-01-25,Technology,Copiers,South,First Class,117.55
290,2021-10-16,Office Supplies,Binders,Central,Standard Class,98.13
291,2023-06-03,Office Supplies,Paper,Central,First Class,214.92
292,2021-10-20,Technology,Accessories,Central,Second Class,475.66
293,2021-06-13,Technology,Accessories,West,Standard Class,65.2
294,2023-06-13,Office Supplies,Storage,South,Same Day,375.63
295,2023-08-10,Furniture,Chairs,South,Standard Class,143.99
296,2022-06-10,Office Supplies,Binders,West,Same Day,167.04
297,2022-08-27,Technology,Copiers,East,Standard Class,259.51
298,2022-06-02,Office Supplies,Binders,South,Standard Class,121.14
299,2023-10-21,Furniture,Chairs,South,Standard Class,206.52
300,2021-07-19,Office Supplies,Binders,Central,Same Day,112.22
301,2022-08-12,Technology,Accessories,South,Second Class,154.12
302,2021-10-15,Furniture,Tables,East,First Class,426.67
303,2023-04-23,Technology,Phones,East,Same Day,269.73
304,2023-07-19,Office Supplies,Paper,South,Second Class,425.56
305,2022-07-14,Furniture,Bookcases,Central,Standard Class,142.38
306,2021-03-18,Office Supplies,Binders,Central,Second Class,377.57
307,2021-11-13,Technology,Phones,Central,Standard Class,48.72
308,2022-08-01,Office Supplies,Binders,East,Same Day,259.43
309,2022-11-23,Technology,Copiers,Central,Standard Class,395.17
310,2023-08-13,Furniture,Bookcases,West,Same Day,46.54
311,2023-05-18,Technology,Copiers,West,Second Class,143.83
312,2021-12-04,Technology,Accessories,West,Second Class,259.29
313,2023-10-24,Technology,Accessories,West,Second Class,499.88
314,2021-04-10,Technology,Accessories,West,Standard Class,154.1
315,2021-04-05,Furniture,Tables,South,Standard Class,367.27
316,2021-10-03,Technology,Accessories,East,First Class,645.96
317,2022-09-03,Furniture,Bookcases,East,Second Class,379.23
318,2021-05-25,Technology,Phones,Central,Standard Class,212.71
319,2022-04-20,Office Supplies,Paper,West,Standard Class,328.98
320,2021-05-09,Furniture,Chairs,West,Second Class,150.33
321,2022-10-21,Technology,Copiers,South,Standard Class,267.15
322,2022-08-15,Office Supplies,Binders,West,Second Class,221.05
323,2021-03-28,Furniture,Tables,East,First Class,321.24
324,2023-11-05,Office Supplies,Binders,Central,Same Day,178.42
325,2023-09-17,Office Supplies,Binders,East,Standard Class,334.43
326,2021-01-12,Furniture,Tables,West,Standard Class,177.02
327,2021-06-16,Technology,Copiers,West,Second Class,459.48
328,2022-05-02,Office Supplies,Paper,South,Standard Class,192.03
329,2021-04-16,Furniture,Chairs,East,Standard Class,26.58
330,2022-06-01,Technology,Phones,East,Second Class,101.19
331,2022-11-14,Furniture,Chairs,South,Second Class,253.58
332,2023-12-10,Technology,Accessories,East,First Class,735.44
333,2021-09-09,Office Supplies,Binders,South,Same Day,447.46
334,2022-02-17,Furniture,Chairs,East,Second Class,19.75
335,2021-12-23,Furniture,Chairs,South,Standard Class,59.07
336,2021-05-10,Furniture,Bookcases,South,Second Class,543.33
337,2023-04-20,Furniture,Bookcases,East,Second Class,393.65
338,2022-10-30,Technology,Copiers,East,Second Class,997.9
339,2022-02-01,Office Supplies,Binders,South,Standard Class,171.18
340,2022-02-23,Technology,Phones,South,First Class,118.9
341,2021-11-16,Technology,Accessories,East,First Class,264.12
342,2023-02-15,Technology,Accessories,South,First Class,168.44
343,2023-06-23,Furniture,Tables,West,Standard Class,509.55
344,2023-03-25,Technology,Copiers,Central,First Class,163.67
345,2021-03-09,Office Supplies,Binders,Central,Standard Class,201.3
346,2021-02-10,Technology,Phones,South,First Class,104.33
347,2023-10-18,Office Supplies,Binders,Central,First Class,427.11
348,2023-06-11,Office Supplies,Storage,West,Second Class,110.57
349,2023-06-12,Technology,Phones,East,First Class,338.91
350,2022-07-01,Furniture,Tables,East,Same Day,818.01
351,2022-07-19,Office Supplies,Binders,Central,Second Class,39.53
352,2022-01-12,Furniture,Bookcases,Central,First Class,666.02
353,2022-10-17,Furniture,Tables,East,Second Class,308.23
354,2021-06-13,Furniture,Chairs,West,Same Day,89.25
355,2023-04-04,Furniture,Bookcases,Central,Standard Class,271.79
356,2021-07-22,Office Supplies,Binders,South,Same Day,418.53
357,2023-04-09,Technology,Phones,West,Same Day,126.04
358,2021-04-17,Furniture,Tables,West,First Class,352.86
359,2021-02-22,Office Supplies,Storage,West,Second Class,702.83
360,2023-06-10,Technology,Phones,West,Standard Class,163.5
361,2021-05-05,Technology,Copiers,West,Second Class,103.16
362,2021-07-01,Office Supplies,Storage,West,Standard Class,226.42
363,2021-03-19,Technology,Accessories,South,First Class,260.95
364,2023-12-26,Office Supplies,Binders,South,Standard Class,527.39
365,2023-04-03,Office Supplies,Binders,Central,Second Class,220.63
366,2022-10-09,Office Supplies,Storage,Central,Same Day,176.11
367,2022-08-17,Technology,Phones,Central,Standard Class,100.76
368,2023-03-22,Furniture,Tables,East,Second Class,46.96
369,2021-01-26,Technology,Phones,West,Standard Class,74.16
370,2022-01-02,Technology,Copiers,West,Second Class,73.72
371,2021-01-11,Office Supplies,Storage,East,First Class,203.02
372,2022-08-15,Furniture,Chairs,East,Second Class,57.27
373,2022-01-12,Office Supplies,Paper,East,First Class,239.63
374,2023-02-08,Technology,Accessories,South,Second Class,806.18
375,2023-03-02,Furniture,Chairs,West,First Class,537.77
376,2023-12-08,Office Supplies,Storage,Central,Same Day,201.46
377,2022-02-10,Furniture,Bookcases,East,First Class,1152.77
378,2021-11-03,Office Supplies,Binders,Central,Standard Class,261.64
379,2023-05-22,Furniture,Tables,Central,First Class,290.35
380,2023-10-12,Office Supplies,Binders,South,First Class,223.07
381,2022-08-28,Office Supplies,Storage,East,Standard Class,243.71
382,2022-04-24,Office Supplies,Binders,West,Second Class,158.84
383,2023-02-05,Furniture,Chairs,South,Same Day,203.8
384,2023-10-07,Furniture,Chairs,West,First Class,668.99
385,2022-06-22,Technology,Copiers,Central,Standard Class,577.27
386,2021-05-13,Office Supplies,Paper,West,Second Class,25.08
387,2023-01-29,Office Supplies,Binders,West,Standard Class,64.49
388,2022-02-14,Furniture,Bookcases,East,Same Day,127.6
389,2023-09-30,Office Supplies,Paper,East,First Class,478.49
390,2023-10-26,Technology,Accessories,East,Second Class,585.93
391,2024-01-01,Furniture,Bookcases,South,First Class,417.41
392,2021-03-15,Technology,Phones,Central,First Class,88.9
393,2023-05-03,Office Supplies,Paper,East,First Class,161.56
394,2022-12-13,Furniture,Chairs,South,Standard Class,357.25
395,2021-09-10,Technology,Accessories,South,Second Class,206.29
396,2021-09-18,Technology,Accessories,West,Standard Class,184.21
397,2023-08-31,Furniture,Bookcases,West,Standard Class,186.41
398,2023-06-18,Technology,Accessories,West,Standard Class,548.41
399,2021-02-18,Technology,Accessories,West,Same Day,383.34
400,2023-05-24,Office Supplies,Binders,West,Same Day,194.72
401,2021-11-03,Office Supplies,Storage,East,First Class,318.62
402,2022-04-04,Office Supplies,Binders,East,First Class,77.56
403,2022-07-08,Office Supplies,Binders,Central,Same Day,161.82
404,2021-11-03,Technology,Phones,East,Standard Class,513.13
405,2021-05-19,Office Supplies,Storage,Central,First Class,53.48
406,2021-01-23,Technology,Phones,East,Same Day,386.67
407,2021-08-17,Furniture,Tables,South,Standard Class,24.72
408,2023-09-09,Office Supplies,Binders,Central,First Class,743.43
409,2021-02-03,Office Supplies,Paper,South,Standard Class,158.63
410,2021-03-09,Office Supplies,Binders,Central,Second Class,335.53
411,2021-08-18,Furniture,Tables,Central,Standard Class,272.78
412,2023-06-07,Office Supplies,Paper,Central,Same Day,280.25
413,2021-09-26,Furniture,Bookcases,South,Same Day,314.47
414,2021-11-20,Office Supplies,Binders,West,Same Day,43.54
415,2022-03-16,Technology,Accessories,West,Second Class,284.57
416,2021-08-22,Furniture,Tables,East,First Class,216.04
417,2023-11-17,Furniture,Tables,Central,Same Day,159.37
418,2022-01-29,Furniture,Chairs,Central,First Class,127.54
419,2021-03-28,Technology,Phones,East,Standard Class,289.88
420,2022-12-19,Office Supplies,Storage,West,Standard Class,104.37
421,2023-06-18,Technology,Copiers,South,Standard Class,506.94
422,2022-06-25,Office Supplies,Paper,South,First Class,353.14
423,2021-10-31,Office Supplies,Storage,Central,Standard Class,302.93
424,2021-11-22,Furniture,Tables,Central,First Class,492.67
425,2023-07-25,Furniture,Tables,Central,First Class,36.11
426,2023-02-20,Office Supplies,Paper,Central,First Class,75.06
427,2023-02-01,Furniture,Chairs,West,Second Class,364.24
428,2022-09-23,Technology,Accessories,East,Second Class,134.15
429,2023-04-01,Technology,Accessories,West,Standard Class,149.29
430,2023-05-04,Furniture,Tables,East,Same Day,64.56
431,2022-07-22,Furniture,Chairs,South,First Class,104.64
432,2021-07-11,Office Supplies,Binders,South,Same Day,514.58
433,2021-04-14,Office Supplies,Binders,South,Standard Class,358.22
434,2021-07-30,Technology,Accessories,East,Second Class,287.53
435,2022-07-08,Furniture,Bookcases,East,First Class,154.28
436,2023-09-07,Furniture,Tables,West,Standard Class,274.38
437,2022-10-21,Office Supplies,Paper,West,Second Class,545.13
438,2021-01-08,Furniture,Chairs,Central,Standard Class,137.06
439,2022-01-01,Furniture,Bookcases,East,Standard Class,243.29
440,2023-10-26,Office Supplies,Binders,West,First Class,773.6
441,2023-10-13,Technology,Copiers,East,Second Class,413.63
442,2021-05-22,Office Supplies,Storage,Central,First Class,156.13
443,2023-05-18,Furniture,Chairs,Central,Second Class,390.78
444,2021-12-16,Furniture,Chairs,West,Standard Class,52.55
445,2021-12-16,Furniture,Chairs,West,Second Class,235.86
446,2023-10-28,Technology,Phones,South,Standard Class,390.48
447,2021-02-14,Office Supplies,Paper,Central,Same Day,331.09
448,2023-01-21,Office Supplies,Binders,South,Same Day,387.86
449,2023-07-23,Office Supplies,Binders,Central,Second Class,448.76
450,2022-08-25,Furniture,Chairs,East,First Class,349.88
451,2023-08-31,Technology,Phones,West,Second Class,342.77
452,2023-12-12,Technology,Phones,South,First Class,292.41
453,2023-12-07,Office Supplies,Binders,Central,Same Day,93.65
454,2022-01-16,Technology,Phones,East,Second Class,514.43
455,2023-09-06,Office Supplies,Binders,South,Same Day,242.42
456,2023-10-26,Furniture,Chairs,East,Same Day,406.56
457,2023-11-25,Furniture,Chairs,Central,First Class,479.27
458,2021-04-15,Technology,Phones,South,Second Class,162.79
459,2022-09-02,Technology,Phones,Central,Same Day,174.95
460,2021-09-12,Technology,Accessories,West,Same Day,194.78
461,2022-03-16,Office Supplies,Binders,South,Same Day,580.54
462,2021-05-03,Technology,Accessories,West,Standard Class,113.7
